,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceGroup
376,1837,85,RM,86.0,5160,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,PConc,Gd,Fa,Av,BLQ,749.0,Rec,63.0,46.0,858.0,GasA,TA,Y,SBrkr,892,0,0,892,1.0,0.0,1,0,1,1,Gd,5,Min2,0,Po,Detchd,1977.7212165097756,Unf,0.0,0.0,TA,TA,N,0,0,105,0,160,0,Ex,MnPrv,Shed,0,7,2009,COD,Abnorml,83364.3416,G1
377,1838,190,RM,60.0,10320,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,276.0,ALQ,262.0,160.0,698.0,GasA,Ex,Y,FuseF,754,649,0,1403,1.0,0.0,1,1,3,1,TA,7,Typ,0,Po,Detchd,1915.0,Unf,1.0,308.0,TA,TA,Y,0,0,288,0,0,0,Ex,MnPrv,Shed,0,2,2009,WD,Normal,144360.668,G2
378,1839,20,RL,50.0,4280,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,Ex,Y,FuseA,704,0,0,704,0.0,1.0,1,0,2,1,Fa,4,Typ,0,Po,CarPort,1946.0,Unf,1.0,220.0,TA,TA,Y,0,0,24,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,83552.35283730157,G1
379,1840,90,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,Gd,Gd,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200,3.0,0.0,3,0,3,1,TA,5,Typ,0,Po,Detchd,1977.7212165097756,Unf,0.0,0.0,TA,Fa,Y,120,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Alloca,167557.4579,G2
380,1841,90,RL,68.58035714285714,10547,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,PConc,Gd,Gd,Gd,GLQ,1152.0,Unf,0.0,0.0,1152.0,GasA,TA,Y,SBrkr,1152,0,0,1152,2.0,0.0,2,0,2,2,TA,6,Typ,0,Po,Detchd,1960.0,Unf,1.0,252.0,TA,Fa,N,0,0,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,157217.5586095238,G2
381,1842,50,RL,60.0,9780,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,TA,N,FuseA,687,425,0,1112,1.0,0.0,2,0,4,1,TA,6,Typ,0,Po,Detchd,1934.0,Unf,1.0,226.0,Po,Po,N,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2009,WD,Normal,96105.61216666666,G2
382,1843,20,RL,75.0,11625,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,BLQ,527.0,Unf,0.0,525.0,1052.0,GasA,TA,Y,SBrkr,1052,0,0,1052,0.0,0.0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1984.0,Fin,1.0,668.0,TA,TA,Y,0,215,0,0,0,0,Ex,MnPrv,Shed,0,4,2009,WD,Abnorml,140041.9053,G2
383,1844,85,RL,68.58035714285714,8014,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,456.0,Unf,0.0,0.0,456.0,GasA,TA,Y,SBrkr,1034,0,0,1034,0.0,1.0,1,0,3,1,TA,5,Typ,1,Fa,Basment,1978.0,Fin,2.0,504.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2009,WD,Normal,122085.25668404765,G2
384,1845,80,RL,88.0,15400,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,5,1961,1961,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Gd,No,Unf,0.0,Unf,0.0,552.0,552.0,GasA,TA,Y,SBrkr,904,611,259,1774,0.0,0.0,2,0,4,1,TA,8,Typ,1,TA,Attchd,1961.0,Unf,1.0,384.0,TA,TA,Y,290,40,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,143596.3769,G2
385,1846,80,RL,88.0,15312,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,TA,TA,CBlock,TA,TA,Av,BLQ,588.0,Unf,0.0,550.0,1138.0,GasA,Ex,Y,SBrkr,1138,0,0,1138,0.0,1.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1960.0,RFn,2.0,480.0,TA,TA,Y,0,0,0,0,140,0,Ex,MnPrv,Shed,0,3,2009,COD,Normal,145370.05083333334,G2
386,1847,80,RL,68.58035714285714,15584,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,366.0,TA,TA,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,825.0,825.0,GasA,Ex,Y,SBrkr,2071,0,0,2071,0.0,1.0,1,1,4,1,TA,9,Typ,1,TA,Attchd,1956.0,Unf,1.0,336.0,TA,TA,Y,131,28,0,0,0,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,150579.0534,G2
387,1848,20,RL,68.58035714285714,9000,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Slab,TA,TA,No,Rec,0.0,Unf,0.0,0.0,0.0,GasA,Fa,N,SBrkr,660,0,0,660,0.0,0.0,1,0,2,1,Fa,5,Min2,0,Gd,Attchd,1977.7212165097756,Unf,0.0,0.0,Fa,TA,N,0,0,100,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Normal,65588.9626904762,G1
388,1849,20,RL,68.58035714285714,15635,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,0.0,Unf,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1383,0,0,1383,0.0,0.0,1,0,2,1,TA,6,Mod,0,Gd,Attchd,1980.0,Unf,2.0,498.0,Fa,TA,Y,0,0,90,0,110,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,117357.7676,G2
389,1850,20,RL,68.0,9571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,257.0,Unf,0.0,816.0,1073.0,GasA,TA,Y,FuseA,1073,0,0,1073,1.0,0.0,1,0,2,1,TA,5,Typ,0,Gd,Attchd,1956.0,Unf,1.0,340.0,TA,TA,Y,0,0,0,0,0,0,Ex,GdPrv,Shed,0,2,2009,WD,Normal,133479.45585238095,G2
390,1851,60,RL,50.0,9350,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1946,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,342.0,Unf,0.0,405.0,747.0,GasA,Ex,Y,SBrkr,892,747,0,1639,0.0,0.0,1,1,3,1,Gd,6,Typ,1,Gd,Detchd,1946.0,Unf,1.0,240.0,TA,TA,Y,0,50,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,134412.6802,G2
391,1852,20,RL,62.0,7440,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,173.0,Unf,0.0,916.0,1089.0,GasW,TA,Y,SBrkr,1089,0,0,1089,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1954.0,RFn,1.0,252.0,TA,TA,P,328,0,0,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,133047.5435,G2
392,1853,120,RL,42.0,4235,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1049,1.0,0.0,2,0,2,1,Gd,5,Typ,0,Po,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,Ex,MnPrv,Shed,0,2,2009,WD,Normal,136304.2976261905,G2
393,1854,80,RL,74.0,10778,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,SLvl,7,6,1990,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,460.0,ALQ,286.0,308.0,1054.0,GasA,Gd,Y,SBrkr,1061,0,0,1061,1.0,0.0,1,1,1,1,Gd,4,Typ,0,Po,Attchd,1990.0,Unf,2.0,462.0,TA,TA,Y,114,36,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,172573.96118095238,G2
394,1855,80,RL,66.0,19255,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,SLvl,6,5,1983,1983,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,100.0,Gd,TA,CBlock,Gd,TA,Av,Rec,70.0,GLQ,450.0,0.0,520.0,GasA,Gd,Y,SBrkr,1338,0,0,1338,0.0,0.0,1,1,2,1,Gd,5,Min2,1,Po,Attchd,1983.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,600,9,2009,WD,Normal,139740.93153666664,G2
395,1856,60,RL,85.0,10560,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,474.0,Unf,0.0,605.0,1079.0,GasA,Ex,Y,SBrkr,1079,800,0,1879,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1993.0,RFn,2.0,473.0,TA,TA,Y,400,100,144,0,0,0,Ex,MnPrv,Shed,0,8,2009,WD,Normal,229883.6301,G2
396,1857,70,RL,120.0,26400,Pave,Grvl,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Normal,148481.0709,G2
397,1858,90,RL,64.0,7018,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,Gd,TA,Av,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1114,1114,0,2228,0.0,0.0,2,0,6,2,TA,8,Typ,0,TA,Detchd,1979.0,Unf,2.0,720.0,TA,TA,Y,73,0,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Alloca,151752.8199,G2
398,1859,90,RL,64.0,7018,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,Gd,TA,Av,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1535,0,0,1535,0.0,0.0,2,0,4,2,TA,8,Typ,0,TA,Attchd,1979.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Alloca,127852.8569,G2
399,1860,90,RL,64.0,7040,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,BrkFace,216.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1094.0,Unf,0.0,0.0,1094.0,GasA,TA,Y,SBrkr,1229,0,0,1229,2.0,0.0,0,2,2,2,Gd,6,Typ,2,TA,Detchd,1979.0,Unf,2.0,672.0,TA,TA,Y,120,0,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Alloca,153031.1368,G2
400,1861,90,RL,64.0,7007,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Slab,Ex,TA,No,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1513,0,0,1513,0.0,0.0,2,0,4,2,TA,8,Typ,0,TA,Attchd,1979.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Alloca,127724.1903,G2
401,1862,90,RL,68.58035714285714,11855,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,291615.6668,G2
402,1863,90,RL,68.58035714285714,7939,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,291615.6668,G2
403,1864,90,RL,68.58035714285714,7976,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,Ex,TA,No,GLQ,820.0,Unf,0.0,348.0,1168.0,GasA,Ex,Y,SBrkr,1168,1619,0,2787,2.0,0.0,4,2,6,2,TA,8,Typ,2,TA,BuiltIn,2000.0,Fin,4.0,820.0,TA,TA,Y,312,0,0,0,0,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,291615.6668,G2
404,1865,20,RL,84.0,10933,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2009,2009,Hip,CompShg,VinylSd,VinylSd,Stone,242.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1021.0,Unf,0.0,534.0,1555.0,GasA,Ex,Y,SBrkr,1680,0,0,1680,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Gd,Attchd,2009.0,Fin,3.0,1138.0,TA,TA,Y,185,24,0,0,0,0,Ex,GdPrv,Shed,0,7,2009,New,Partial,328140.35,G2
405,1866,20,RL,65.0,10816,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,364.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1104.0,Unf,0.0,616.0,1720.0,GasA,Ex,Y,SBrkr,1720,0,0,1720,1.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2008.0,RFn,3.0,846.0,TA,TA,Y,208,104,0,0,0,0,Ex,GdPrv,Shed,0,11,2009,WD,Normal,345456.9282,G2
406,1867,20,RL,71.0,9178,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1468.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,1468,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2008.0,RFn,3.0,904.0,TA,TA,Y,192,142,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Normal,251388.3355,G2
407,1868,20,RL,77.0,11422,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,352.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1359.0,Unf,0.0,479.0,1838.0,GasA,Ex,Y,SBrkr,1838,0,0,1838,1.0,0.0,2,0,3,1,Gd,7,Typ,2,Gd,Attchd,2007.0,RFn,2.0,524.0,TA,TA,Y,154,222,0,0,0,0,Ex,GdPrv,Shed,0,4,2009,WD,Normal,289769.1865,G2
408,1869,20,RL,64.0,6762,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,902.0,Unf,0.0,380.0,1282.0,GasA,Ex,Y,SBrkr,1290,0,0,1290,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,662.0,TA,TA,Y,168,0,0,0,0,0,Ex,GdPrv,Shed,0,5,2009,WD,Normal,193032.5639142857,G2
409,1870,20,RL,95.0,10324,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,Gd,TA,PConc,Gd,TA,Av,GLQ,872.0,Unf,0.0,382.0,1254.0,GasA,Ex,Y,SBrkr,1254,0,0,1254,1.0,0.0,2,0,2,1,Gd,5,Typ,0,Gd,Attchd,2008.0,RFn,3.0,810.0,TA,TA,Y,168,92,0,0,0,0,Ex,GdPrv,Shed,0,3,2009,WD,Normal,242732.4616,G2
410,1871,20,RL,78.0,11645,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,24.0,Unf,0.0,1474.0,1498.0,GasA,Ex,Y,SBrkr,1498,0,0,1498,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,3.0,844.0,TA,TA,Y,144,98,0,0,0,0,Ex,GdPrv,Shed,0,3,2009,WD,Normal,245673.2678,G2
411,1872,60,RL,79.0,11646,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,704.0,704.0,GasA,Ex,Y,SBrkr,704,718,0,1422,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,2.0,440.0,TA,TA,Y,36,28,0,0,0,0,Ex,GdPrv,Shed,0,7,2009,WD,Normal,167090.49210166666,G2
412,1873,60,RL,68.58035714285714,16698,Pave,Grvl,IR1,HLS,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,2Story,7,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,800.0,Unf,0.0,649.0,1449.0,GasA,Gd,Y,SBrkr,944,815,0,1759,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1992.0,Unf,2.0,525.0,TA,TA,Y,150,193,0,0,0,0,Ex,GdPrv,Shed,0,6,2009,WD,Normal,235634.60985,G2
413,1874,20,RL,65.0,9757,Pave,Grvl,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,TA,TA,No,ALQ,755.0,Unf,0.0,235.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,TA,Attchd,1995.0,RFn,1.0,440.0,TA,TA,Y,66,0,0,0,92,0,Ex,GdPrv,Shed,0,10,2009,WD,Normal,136814.28967142856,G2
414,1875,20,RL,65.0,14753,Pave,Grvl,IR2,Low,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,950.0,Unf,0.0,513.0,1463.0,GasA,Ex,Y,SBrkr,1463,0,0,1463,1.0,0.0,2,0,3,1,TA,5,Typ,0,TA,Attchd,1998.0,Fin,2.0,539.0,TA,TA,Y,0,81,0,0,0,0,Ex,GdPrv,Shed,0,12,2009,WD,Normal,193870.8593,G2
415,1876,60,RL,70.0,8750,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,TA,TA,PConc,Gd,TA,No,GLQ,606.0,Unf,0.0,322.0,928.0,GasA,Ex,Y,SBrkr,928,844,0,1772,1.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998.0,RFn,2.0,492.0,TA,TA,Y,150,96,0,0,0,0,Ex,MnPrv,Shed,0,4,2009,WD,Normal,212250.4048,G2
416,1877,20,RL,65.0,10739,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,1259.0,Unf,0.0,172.0,1431.0,GasA,Ex,Y,SBrkr,1444,0,0,1444,1.0,0.0,2,0,3,1,Gd,6,Typ,0,TA,Attchd,2002.0,RFn,2.0,577.0,TA,TA,Y,144,40,0,0,0,0,Ex,MnPrv,Shed,0,4,2009,WD,Normal,190173.1711,G2
417,1878,20,RL,75.0,11166,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1468.0,1492.0,GasA,Ex,Y,SBrkr,1492,0,0,1492,0.0,0.0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0,114,0,0,168,0,Ex,MnPrv,Shed,0,7,2009,WD,Family,208816.37575,G2
418,1879,20,RL,68.58035714285714,16269,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,BrkFace,76.0,TA,TA,BrkTil,Gd,TA,Av,GLQ,625.0,Unf,0.0,282.0,907.0,GasA,TA,Y,SBrkr,907,0,0,907,0.0,0.0,1,0,3,1,TA,5,Typ,0,Gd,Attchd,1978.0,Unf,1.0,343.0,TA,TA,Y,72,0,0,0,0,0,Ex,MnPrv,Shed,0,7,2009,WD,Normal,130162.9768,G2
419,1880,20,RL,76.0,6950,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,40.0,TA,TA,CBlock,TA,TA,No,ALQ,710.0,BLQ,72.0,132.0,914.0,GasA,TA,Y,SBrkr,914,0,0,914,1.0,0.0,1,0,2,1,TA,5,Typ,0,Gd,Attchd,1979.0,Unf,2.0,444.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,10,2009,WD,Normal,135564.84713333333,G2
420,1881,20,RL,90.0,11664,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1234.0,Unf,0.0,335.0,1569.0,GasA,Ex,Y,SBrkr,1611,0,0,1611,1.0,0.0,2,0,3,1,Gd,6,Typ,0,Gd,Attchd,2002.0,RFn,3.0,1231.0,TA,TA,Y,262,93,0,0,0,0,Ex,MnPrv,Shed,0,9,2009,WD,Normal,225039.5033,G2
